"Time_step","Pressure"
0,-55.6071
50,-190.7796
100,36.0722
150,-220.6074
200,-127.4939
250,9.9384
300,-98.6096
350,-288.9166
400,290.7109
450,46.7604
500,-285.8133
550,-225.4774
600,-48.1455
650,-172.2051
700,-123.326
750,284.3488
800,-149.2715
850,21.6279
900,229.327
950,12.4955
1000,33.731
1050,120.2748
1100,15.7758
1150,47.104
1200,12.86
1250,-33.3004
1300,399.2827
1350,92.9238
1400,-141.3654
1450,275.3766
1500,-238.5947
1550,-59.939
1600,-191.8532
1650,113.1765
1700,157.357
1750,-305.5827
1800,-213.5899
1850,172.2254
1900,188.2421
1950,-13.071
2000,195.7385
2050,-59.5799
2100,-35.057
2150,-34.1552
2200,43.2378
2250,-383.2506
2300,-75.1948
2350,36.1496
2400,-248.3551
2450,-179.0762
2500,235.9045
2550,-141.1323
2600,-319.5895
2650,440.1035
2700,-362.3434
2750,-465.932
2800,1.8836
2850,34.0399
2900,-107.1305
2950,-141.3981
3000,58.6718
3050,110.4351
3100,-150.3107
3150,-358.0132
3200,252.0426
3250,-158.1808
3300,318.6011
3350,-578.3678
3400,94.1322
3450,-14.2694
3500,340.3468
3550,94.1378
3600,196.6329
3650,-4.8329
3700,-311.6214
3750,-107.3557
3800,181.9695
3850,-174.6941
3900,37.876
3950,95.303
4000,275.4471
4050,122.8284
4100,148.2241
4150,-34.9906
4200,-93.7342
4250,299.932
4300,31.6702
4350,-142.2168
4400,48.5734
4450,-236.1063
4500,-56.7269
4550,-261.6447
4600,129.5025
4650,130.4918
4700,93.9173
4750,135.0675
4800,373.1011
4850,-41.5873
4900,-232.2994
4950,-218.3363
5000,-186.3351
5050,-213.9464
5100,352.2117
5150,147.8956
5200,-78.9167
5250,166.8337
5300,-72.6061
5350,-127.9719
5400,126.4759
5450,-230.248
5500,-45.1742
5550,-17.5522
5600,-335.2215
5650,82.1307
5700,-171.9239
5750,-37.707
5800,191.9954
5850,-334.8495
5900,-32.0499
5950,-285.5543
6000,-111.6875
6050,-155.7132
6100,-300.6422
6150,-15.7512
6200,-81.1371
6250,473.8168
6300,-30.5918
6350,90.7482
6400,-185.5767
6450,-303.1416
6500,166.4866
6550,93.1765
6600,-268.323
6650,-42.1791
6700,305.2656
6750,-95.7291
6800,-61.0927
6850,47.4908
6900,-180.3922
6950,233.9068
7000,87.4468
7050,219.0749
7100,-212.4466
7150,122.8952
7200,-30.1815
7250,17.3561
7300,-30.8033
7350,217.2745
7400,83.1524
7450,-240.2108
7500,321.128
7550,-124.6133
7600,272.1971
7650,23.7164
7700,156.2341
7750,-147.2321
7800,-43.9385
7850,213.5782
7900,148.93
7950,-237.644
8000,130.3811
8050,-77.7033
8100,96.4833
8150,43.9425
8200,-253.7913
8250,100.4379
8300,211.6985
8350,89.4455
8400,107.5303
8450,94.8709
8500,-343.3471
8550,145.975
8600,49.5745
8650,-268.0116
8700,99.7401
8750,-613.9184
8800,223.0422
8850,-298.3633
8900,-44.0461
8950,223.6561
9000,42.0052
9050,-5.9878
9100,21.6757
9150,-138.6724
9200,160.7329
9250,117.0962
9300,43.5623
9350,-304.7826
9400,138.0667
9450,192.1391
9500,-13.7934
9550,-70.365
9600,162.9407
9650,15.0968
9700,-1.6841
9750,44.6742
9800,253.1494
9850,-165.9851
9900,-4.9758
9950,-131.5227
10000,17.2899
10050,-187.4252
10100,-57.2804
10150,153.4882
10200,65.4464
10250,89.0222
10300,-283.3156
10350,285.129
10400,-481.5731
10450,-55.4313
10500,135.3286
10550,83.7982
10600,-28.8235
10650,-53.7959
10700,25.6079
10750,-175.9805
10800,211.8777
10850,329.9838
10900,72.7286
10950,179.7941
11000,310.9462
11050,-180.0714
11100,355.8958
11150,153.0245
11200,-37.3649
11250,113.7307
